"Tindex","Aindex","Sindex","TAindex","TSindex","ASindex","R"
1,1,1,1,1,1,-0.0354411427525233
1,1,2,1,2,2,0.0354411427525234
1,2,1,2,1,3,-0.0421539902558697
1,2,2,2,2,4,0.0421539902558697
1,3,1,3,1,5,0.0014455168050439
1,3,2,3,2,6,-0.0014455168050439
1,4,1,4,1,7,0.000628627003948994
1,4,2,4,2,8,-0.000628627003948994
1,5,1,5,1,9,0.00194946296006965
1,5,2,5,2,10,-0.00194946296006965
1,6,1,6,1,11,0.00168351368003422
1,6,2,6,2,12,-0.00168351368003422
1,7,1,7,1,13,-0.000875651496668545
1,7,2,7,2,14,0.000875651496668545
1,8,1,8,1,15,0.0658037979059419
1,8,2,8,2,16,-0.0658037979059419
1,9,1,9,1,17,0.0806422816736666
1,9,2,9,2,18,-0.0806422816736666
1,10,1,10,1,19,0.0759258233694839
1,10,2,10,2,20,-0.0759258233694839
1,11,1,11,1,21,0.0228279290708122
1,11,2,11,2,22,-0.0228279290708122
1,12,1,12,1,23,-0.0200106111986958
1,12,2,12,2,24,0.0200106111986958
1,13,1,13,1,25,-0.0346133426351299
1,13,2,13,2,26,0.0346133426351299
1,14,1,14,1,27,-0.0164921803792956
1,14,2,14,2,28,0.0164921803792956
1,15,1,15,1,29,-1.98152066004376e-05
1,15,2,15,2,30,1.98152066004376e-05
1,16,1,16,1,31,0.00410377574041532
1,16,2,16,2,32,-0.00410377574041532
1,17,1,17,1,33,0.00478837894445188
1,17,2,17,2,34,-0.00478837894445188
1,18,1,18,1,35,0.00651935507070187
1,18,2,18,2,36,-0.00651935507070187
1,19,1,19,1,37,-0.00103681723670505
1,19,2,19,2,38,0.00103681723670505
1,20,1,20,1,39,-0.0154069161033668
1,20,2,20,2,40,0.0154069161033668
1,21,1,21,1,41,-0.0276818514901957
1,21,2,21,2,42,0.0276818514901957
1,22,1,22,1,43,-0.039747870602224
1,22,2,22,2,44,0.039747870602224
1,23,1,23,1,45,-0.0639217287402539
1,23,2,23,2,46,0.0639217287402539
1,24,1,24,1,47,0.0310834558729581
1,24,2,24,2,48,-0.0310834558729581
2,1,1,25,3,1,-0.0272377220943809
2,1,2,25,4,2,0.0272377220943809
2,2,1,26,3,3,-0.033241703645318
2,2,2,26,4,4,0.033241703645318
2,3,1,27,3,5,0.00527082038899135
2,3,2,27,4,6,-0.00527082038899135
2,4,1,28,3,7,-0.00767833059303492
2,4,2,28,4,8,0.00767833059303492
2,5,1,29,3,9,-0.000496988592988412
2,5,2,29,4,10,0.000496988592988412
2,6,1,30,3,11,0.00857972907567761
2,6,2,30,4,12,-0.00857972907567761
2,7,1,31,3,13,-0.0277708174598118
2,7,2,31,4,14,0.0277708174598118
